
2023-52-18		09:52:30	 c23076a0-db8b-4ebd-bece-82885a0100ea	 GET	/	undefined 
2023-56-18		09:56:10	 c80d7dda-2b51-4a0a-bd14-7c0cfc277b77	 OPTIONS	/	https://www.google.com 
2023-56-18		09:56:10	 38a004ed-68e5-43b6-bea1-f38a97fce70c	 GET	/	https://www.google.com 
2023-30-18		10:30:27	 6e7804a8-eaef-4b98-9ee7-58569562674e	 GET	/	undefined 
2023-31-18		10:31:03	 570970fa-86f4-47af-99ab-98914fd8726b	 OPTIONS	/	https://www.google.com 
2023-31-18		10:31:03	 4c9b65ae-07ae-4082-8052-1307f7a007d4	 GET	/	https://www.google.com 2023-34-18		10:34:09	 abbe8d46-a49a-4238-961e-e93ef6c23efa	 GET	/	undefined 
2023-23-18		11:23:09	 dbcef9f6-1031-482e-a2a9-8817874d1550	 GET	/	undefined 
2023-23-18		11:23:10	 39d4714f-6790-4942-b320-ba7984f04888	 GET	/	undefined 
2023-23-18		11:23:17	 dc86764a-a630-4f58-8546-5851b2adafd3	 GET	/new-page	undefined 
2023-23-18		11:23:17	 6ebf822c-ae34-4392-bf42-b786a2284201	 GET	/img/yo.jpeg	undefined 
2023-23-18		11:23:17	 a91325e2-2286-49bc-947d-95da226119d8	 GET	/css/style.css	undefined 
2023-26-18		11:26:57	 a0372331-ad17-42bd-ad1a-f8ed945a621b	 OPTIONS	/	https://www.google.com 
2023-26-18		11:26:57	 a360f444-9d4e-42c0-8d9f-5428a74fda92	 GET	/	https://www.google.com 
2023-27-18		11:27:37	 d84847c8-1fd3-4bbc-bede-18146b71940c	 OPTIONS	/	https://www.google.com 
2023-27-18		11:27:37	 ff0bf829-3f07-4146-9bcb-13394862d1b4	 GET	/	https://www.google.com 
2023-44-18		11:44:11	 d1f2659c-f84a-45b9-9ee2-d9a7c721ec94	 OPTIONS	/	https://www.google.com 
2023-44-18		11:44:11	 9f4f9439-ff81-4110-9be7-4dbf56c33920	 GET	/	https://www.google.com 
2023-51-18		11:51:48	 43cc225b-4d63-4c79-955a-8914a8694a75	 GET	/new-page/404	undefined 
